conversation_id,message,sentiment
3,Oh yeah I didn't know that either. I also want to go to google Plex to see the goats who mow their lawn by eating it.,Surprised
3,say what now?? they have that??,Surprised
3,Yeah apparently lol! They do that instead of hiring people to mow!,Happy
3,thats both funny and i guess imaginative. leave it to a huge tech company to employ actual goats!,Surprised
3,Yeah exactly I am sure they are cheaper. One thing I bet they couldn't exploit is fish. I think fish are so cool there is actually a breed of jellyfish that is immortal.,Surprised
3,i had rememered hearing about that before. Immortatlity is wasted on a jellyfish haha. did you know a seahorse is the only fish that has an actual neck?,Neutral
3,That is so funny I guess I never considered a seahorse a fish. The black swallower fish sounds a lot like a snake because it can eat pray that is so large.,Surprised
3,i guess they live up to their name then!,Surprised
3,It seems they do. I also didn't know that there was a difference with how freshwater and saltwater fish drink.,Surprised
3,thats crazy. i wonder why fresh water ones only use osmosis?,Neutral
3,Yeah and saltwater fish are lucky because they can do that and drink through their mouth's.,Curious to dive deeper
3,seems like fresh water fish got the short end of the stick with that one. Have you ever been to a cat cafe?,Curious to dive deeper
3," I have never been to a cat cafe no, what about you? Seems like they are popular in Japan and Taiwan.",Curious to dive deeper
3,no but I would love to! paying hourly to hang out with adorable cats? im in!,Happy
3,Yeah that would be a lot of fun. I didn't realize that cats sleep so much. Must be nice.,Surprised
3," i guess thats where the phrase ""cat nap"" comes from",Happy
3,Oh yeah I guess so ha ha. There's even a town in Alaska that has a mayor cat.,Surprised
4,Hi!  do you like to dance?,Neutral
4,I love to dance a lot. How about you?,Happy
4," I am really bad, but it is a good time.",Neutral
4,Dancing is a lot of fun. Did you know that Bruce Lee was a great dancer?,Happy
4," I heard that, winning Cha Cha championships and everything!",Surprised
4,Yes that is amazing. He won the Hong Kong cha-cha championship back in 1958 in fact.,Surprised
4,I always just thought of him as a martial arts legend.  Now he is a dance legend of sorts too!,Neutral
4,Yeah!! That is correct. He was a fantastic martial artist. Did you know that Tupac danced ballet in high school?,Curious to dive deeper
4," Yeah!  He was the mouse king in the Nutcracker.  Thats pretty cool, I would definitely never have guessed that about him.",Neutral
4,Neither did I. That is insane because Tupac was a famous rapper.,Surprised
4," He was indeed, his music is even in the library of congress.",Neutral
4,I didn't know this thanks for sharing.,Surprised
4,Sure thing!  Did you hear about Michael Jackson's special patent shoes?,Curious to dive deeper
4,No. I know that Michael Jackson was a fantastic dancer but can you tell me more about his patent shoes if you don't mind.,Curious to dive deeper
4,There was a specific device in his shoes that helped with his extreme lean in some dance moves.,Curious to dive deeper
4,Wow!!! That is amazing coming from such a talented singer and dancer. I couldn't even dance like that even if I dreamed of it.,Surprised
4,Me neither. I could never be a professional dancer.,Neutral
4,I heard that some professional ballet dancer can go through four pairs of shoes in a week.,Surprised
4,That is crazy!  That can't be cheap for them.,Surprised
4,No. I think its very expensive for them to be professional ballet dancers based on this.,Neutral
4," It has been great chatting but I must go!  Gotta go get my Bruce Lee on, the martial arts part...  definitely not the dance.",Neutral
4,Ha Ha!!! It was so nice chatting with you as well!! Have a nice day!!! Bye,Happy
4,Bye,Neutral
5,do you like dance?,Curious to dive deeper
5,I love it. Did you know Bruce Lee was a dancer?,Curious to dive deeper
5,Yes he even won a cha cha championship in 1958,Curious to dive deeper
5,Yeah. Did you know ballet dancers use a lot of shoes?,Curious to dive deeper
5,Yes they go through 4 pairs in a single week,Curious to dive deeper
5,Yeah that is a lot of shoes and also a lot of money,Curious to dive deeper
5,Yeah. Babies are also really good at dancing when they hear music,Curious to dive deeper
5,Yes and they smile more when they hit the beat,Curious to dive deeper
5,Yeah pretty cute. Did you know Tupac was a ballet dancer?,Curious to dive deeper
5,Yes he was in the nutcracker as the mouse king,Curious to dive deeper
5,Yeah. DO you like SHakespeare?,Curious to dive deeper
5,I love his work. Did you know he popularized many terms that we use to this day?,Curious to dive deeper
5," Yes terms like, good riddance, in my heart of heart and such",Curious to dive deeper
5,Yes. He lives at the same time as Pocahontas did,Curious to dive deeper
5,I wonder if they had met what he would have written about her.,Curious to dive deeper
5,Yeah good point. He also invented some women's names,Curious to dive deeper
5," Yes among those are Olivia, Miranda and Jessica",Curious to dive deeper
5,Yeah. Did you know that his works have to stick to the old english language to make sense?,Curious to dive deeper
5," Yes especially with punk and rhymes, they do not work with modern language",Curious to dive deeper
5,Yeah. Did you know Tchaikozsky donated his skull in hopes it will be used in Shakespeare's plays?,Curious to dive deeper
5,Yes and did get used so that is good. Nice chat,Happy
6," hi, do you use google much?",Curious to dive deeper
6," Yes, I think it is the most effective search engine. How about you? Do you use gmail?",Curious to dive deeper
6,Yes. a google search takes more computing power than sending astronauts tot he moon,Surprised
6,And before on Google moon they used to use cheese for close ups!,Surprised
6,do you know how google maps calculates traffic?,Surprised
6," I am not sure, how do they do this?",Curious to dive deeper
6,they track how fast android devices are moving,Curious to dive deeper
6,Interesting! Google really is taking over the world. Their data center electricity use is 0.01 percent of all worldwide electricity.,Surprised
6,Yes for sure they are. they have grown so much over the years,Curious to dive deeper
6,But I like that they like to have fun too. Have you ever typed askew into Google?,Curious to dive deeper
6,No I have. What does the results turn?,Curious to dive deeper
6,You should try it! It tilts the page. Another fun thing Google does is call new employees nogglers. They have to wear propeller beanies. Or is this mean?,Curious to dive deeper
6," Oh, not sure about that really. People say it is a great place to work at though",Curious to dive deeper
6," Before Google launched gmail, that was the name of a free email service offered by garfield's website. That actually seems more fun.",Surprised
6,I know now everytime I open gmail I think of garfield,Curious to dive deeper
6," Speaking of cats, I would love to get a glow in the dark one. They have those in South Korea.",Happy
6,Wow. In Japana and Taiwan there are cat cafes where you can play with them,Curious to dive deeper
6,That seems fun! That reminds me of the Anderson house bed and breakfast in Minnesota. They used to offer a free cat for the night when you booked a room.,Surprised
6,wow. there is a town in alaska where the mayor of the town is a cat,Surprised
6," That is cool. Cats are a pretty smart species. There has not been a cat species extinction in 10,000 years.",Surprised
6,They are indeed very smart and that proves it. Nice chatting with you.,Happy
7,Do you like comic books?,Curious to dive deeper
7,I do like comic books!,Happy
7,Have you heard that Harley Quinn has a new comic book series coming out?,Curious to dive deeper
7," I have not heard that.  I know that comic book legend Stan Lee used to end every phone conversation with ""excelsior!""",Happy
7,I've heard that too. Did you know that the DC in DC comics stands for Detective Comics?,Curious to dive deeper
7,I just read that today.  The largest comic book market is in Japan.  I believe it.  My son loves to read those mangas.,Happy
7,I would love to go there. I used to like reading Manga too.,Curious to dive deeper
7,The manga market is Japan is valued at $6 to $7 billion dollars!,Happy
7,That is wild! Did you know that Michigan State University library has the largest publicly available comic book collection in the world?,Curious to dive deeper
7," I didn't know that.  I wonder how many people use it.  By comparison to Japan, the US comic book market in the US and Canada is $1.09 billion!",Happy
7," That's crazy, Japan is way more into comic books than America it seems. ",Curious to dive deeper
7," I agree!  The Marvel cinematic universe takes place in earth -199999, a multiverse different from the original comic book multiverse, earth-616!",Happy
7," That's pretty wild. Marvel published a ""generic comic book,"" in order to trademark the names ""superhero"" and ""super-villain."" That was pretty smart of them. ",Curious to dive deeper
7,No doubt!  Do you know much about the planets or the universe?,Curious to dive deeper
7,I know a little bit. I've heard that Venus does not tilt.,Curious to dive deeper
7,That interesting.  Uranus is different to.  It actually rotates sideways and rolls around the sun rather than spins like the other planets.,Happy
7,That's really interesting. I've also heard that Jupiter's moon Ganymede would be considered a planet if it orbited the sun.,Curious to dive deeper
7,It must be pretty big then!  I wouldn't want to ever visit the unnamed planet where shards of glass precipitate sideways at 4500 mph!,Happy
7,I don't see that being a pleasant place. It's even 2000 degree weather. That sounds like hell to me!,Curious to dive deeper
7,Hahah That's a good way of putting it!,Happy
7," Well I have to get to work, I hope you have a good day. It was nice chatting with you!",Curious to dive deeper
8,Can you believe there is stars that can be cold enough to be touched ? The universe is so diverse.,Surprised
8,Its amazing and ever evolving.,Surprised
8,Yeah and there is even places that exist but we never will be able to see because they are too far away.,Surprised
8,They are saying space pulls galaxies outside of universe that we could see,Neutral
8," Yes that is what I was saying, albeit I doubt that there is only one electron in the universe like some people say. ",Surprised
8,I don't see anything supporting or denying that theory so we would never know for sure.,Curious to dive deeper
8," Yeah, but only one ? For all the universe ? It does not seems logic ...",Surprised
8,There is only one sun that warms earth and all other planets so why not just one electron?,Curious to dive deeper
8," Because an electron is part of matter, the water you drink, the chair you sit on. Saying there is only 1 electron in the universe is like saying there is 1 grain of wheat in your bread.  ",Surprised
8,It makes sense when you put it that way but in terms of that universe size the electron could be very big.,Disgusted
8,Maybe they did mean to say that our universe is contained in an electron in another universe ?,Curious to dive deeper
8," I don't know but I am at the end of knowledge on this subject. What do you think about the facts of comics? I would have thought US invented them, but it's Japan or UK.",Neutral
8," Japan has a great printing history, I am not surprised about this. Do you read comics books ? I have read a few but not about super-heroes. ",Curious to dive deeper
8," I used to in my childhood but not any more, I used to love inspector Gadget. ",Happy
8,Was Inspect Gadget a comics on Paper or a cartoon on TV ? I was talking about what Marvel is publishing.,Curious to dive deeper
8,On Paper and yes I do recall seeing Super-hero and Hulk books.,Curious to dive deeper
8," I think that Hulk is in the Marvel universe. But like I said, I never read anything from Marvel nor DC comics. ",Curious to dive deeper
8," Right me neither, there were so many good choices of comics when I was growing up. ",Curious to dive deeper
8," Not where I lived, if I want to read a comic book, I had to go to the library. But as I think about it Tintin is a comic book, so I was wrong, I did read a lot of them when I was young but they were European.  ",Surprised
8," Mine all time favorite was Bozo the clown, books and TV both. ",Neutral
8," I did saw a lot of cartoons on TV, but I don't think that considered as a comic book. have a nice day. ",Happy
9,Are you a Star Wars fan? I need to rewatch the OT and the prequels so I can watch the subsequent stuff for the first time and understand what's going on.,Curious to dive deeper
9," Hi! Yes, I am a huge fan of Star Wars! I also loved how it was the first major movie to be dubbed in Navajo! I think that is so cool!",Happy
9," Yeah, that's wild. I guess it takes a pretty small audience to pay for the translation work.",Curious to dive deeper
9," Agreed. Isn't it also funny James Earl Jones only spent two and half hours recording his lines for Darth Vader? I also can't believe he was only paid $7500! Geez, that's pocket change.",Surprised
9,$7500 is amazingly low. I guess since Darth Vader was masked Jones could just record everything at once in the studio.,Neutral
9," Agreed. Can you also believe that George Lucas' wife at the time, Marcia, won an academy award for her editing on Star Wars and yet George Lucas didn't win an academy award for directing. That is just downright unbelievable!",Surprised
9,A lot of people think the OT was so much better than the prequels because of her influence.,Neutral
9," Yeah it was because of her that so many major changes were made like Leia's good luck kiss, Obi Wan's death, etc. She was truly a big influence!",Neutral
9," I remember thinking just about everything in the prequels' timeline was off, based on the mental version of the past the OT led us to construct. But I'd have to rewatch to nail it down.",Curious to dive deeper
9,Yeah I would have to watch it as well! So are you also a fan of Chewbacca? I love him. I think it's funny there's a bat species called the Chewbacca bat. That's hilarious!,Surprised
9,I never felt strongly about Chewbacca one way or the other TBH. But I've got to google a picture of that bat to see what it looks like!,Curious to dive deeper
9,I would like to see it as well. Did you know Chewbacca actually had a wife and two boys? That's pretty interesting!,Neutral
9,I vaguely recall reading something in the Star Wars fictional universe where a young Han Solo stayed with Chewbacca and his mom in their home.,Curious to dive deeper
9," That's so weird, isn't it? Ha! Are you one of the fans who believes both r2d2 and Chewbacca were secret rebel agents? I kind of think it's an interesting theory. ",Curious to dive deeper
9," I wish I knew enough about the background to have an opinion, but the last Star Wars I watched was Episode III, when it came out on video. I really need to rewatch to refresh my memory of it. ",Curious to dive deeper
9," Same here! Like, I also had forgotten that before his companionship with Chewbacca, Hans Solo was an imperial lieutenant!",Neutral
9," Yeah, I don't remember that at all. He definitely doesn't seem like the type.",Neutral
9," Indeed he doesn't. But I've always liked Chewbacca because he reminded me of a giant dog. Ha! Speaking of dogs, I think it's cool that dogs, along with elephants, are the only animals that understand pointing!",Neutral
9," I wouldn't be surprised if cats understood it but just didn't care, LOL.",Happy
9," Ha! No kidding. Speaking of dogs and cats, I like how Google prefers dogs over cats and even states in their code of conduct that they're a dog company! That is awesome!",Happy
9," Yeah, that's a weird official policy for what's supposed to be a neutral search engine! Nice chatting with you.",Happy
10," Naming a cloned cat ""copy cat"", that's cute.",Neutral
10,You must have ESP. I was going to tell you teh same thing! I have a sad story to tell there are less tigers living in the wild in Asia than as pets in the US.,Sad
10,Really? That's awful to hear!,Surprised
10,Of Roosevelt's 20 pets two were a bear and hyena!,Surprised
10," Whoa, cool! I know he seemed to be quite the animal lover.",Surprised
10," And there are more pets in Japan than there are children under 15. You can't be a pets ""OWNER"" in Boulder but you can be their guardian.  ",Surprised
10,I have a pet. I am an ailurophile meaning I love cats.,Curious to dive deeper
10,Cool word! Did you know there are 20 quintillion animal varieties on Earth?,Surprised
10,That is a lot! And in 2002 Germany gave them legal rights.,Curious to dive deeper
10," Yeah, and the Loch Ness monster is protected under the 1912 Scottish Animal Protection Act.",Surprised
10,I wonder if the immortal jellyfish needs protecting... being immortal and all.,Curious to dive deeper
10," Lol...speaking of water animals, did you know that hiccoughs are a left over from evolution when we had gills?",Surprised
10," Maybe that connection is part of why 84% of human disease genes have counterparts in zebrafish, too... hmm.",Curious to dive deeper
10,Hmm? Good theory. Seeing that the most popular pets are cats and dogs it is no surprise that they are commonly used for therapy in hospitals.,Curious to dive deeper
10," Well, they are good at helping people adjust to new situations, too.",Happy
10," Yes, like for elderly who are without companions.",Curious to dive deeper
10," Or people with anxiety and depression, or kids with autism.",Curious to dive deeper
10," Yes, a seahorse wouldn't be very good for that purpose. Did you know seahorses are the only fish with a neck?",Surprised
10,I don't think a black swallower fish would be good as a companion pet either because it can eat prey twice its length!,Surprised
10,That would freak me out! But I bet it catches that prey using its acoustic communication!,Curious to dive deeper
10,Could be. Fish are cool like that. I think it's neat that amphibians and reptiles and birds and mammals all had the same ancestry with fish.,Curious to dive deeper
10,I wonder if reptiles are considered ectothermic like most fish?,Curious to dive deeper
10," That would be a good thing to know, especially because some of them make good pets.",Curious to dive deeper
10," Yep, but I don't know if walking a gecko would give the same health benefits as walking a dog",Curious to dive deeper
10,Probably not. Dog walking is good because it gives companionship and exercise at the same time.,Neutral
10," Hey, did you know the first marine predator was the shark? They developed in the Silurian period.",Curious to dive deeper
10,Very interesting. I wonder how many aquatic species have gone extinct since then...,Curious to dive deeper
10,Or have evolved into other species. The shark has a higher core temperature than other fish because it is an active swimmer.,Curious to dive deeper
10,That makes sense. I always thought sharks were pretty interesting because they have cartilage instead of bone.,Curious to dive deeper
10," Yes, fascinating fact! Tuna also hold a higher core temperature. They are in the same class as shark because they are also active swimmers.",Curious to dive deeper
10," Tuna can get quite large, too. It's cool how big some fish get.",Curious to dive deeper
10,One more before we go...did you know domesticated animals develop a white patch on their forehead?,Neutral
10,Yeah. that is a pretty cool way to know they are domesticated rather than wild.,Curious to dive deeper
10,Very cool chatting with you. Did you know there are 6331 groups of genes? They are common to all living animals!,Surprised
10,It was a cool exercise in zoology chatting with you.,Curious to dive deeper
11,I think its sad to have to part with a pet due to allergies and couple conflict like in the Dear Amy section.,Sad
11,That is sad. Do you have pets? The first cloned pet was a cat and its name was copy cat.,Surprised
11," Yes, I have a dog.  Sounds like in the Dear Amy that they do everything tit for tat. The cat owner states that her fiance has to get rid of his saltwater fish if she gets rid of her cat.  That's not necessarily fair though I don't think.  They seem like they may struggle as a couple in the future.",Surprised
11,Yeah that's a bit dramatic! A cat lover is known as an ailurophile and a dog lover is known as a cynophile.,Surprised
11,Allergies can be serious to people.  I understand his reserve of having a cat.,Surprised
11," Me too. A pet or companion animal is an animal kept primarily for a person's company, protection, or entertainment. No one should have to be made uncomfortable by a pet in the house.",Neutral
11," I'm sure she loves the pet, but she has to make a choice if the pet is harming her fiance.",Curious to dive deeper
11,Over 1.5 million living animal species have been described. I'm sure they can find one to agree on.,Surprised
11,Did you ever hear that animals develop white patches on their foreheads when they are domesticated?  That's a new one to me.,Surprised
11," That's interesting! Of the 1.5 million species, 1 million are insects! Yuck!",Disgusted
11," Apparently, there is a breed of jellyfish that is immortal.  If you want to live forever, you can look into being a jellyfish.",Surprised
11," Fascinating! In japan, there are more pets than there are children under 15.",Surprised
11," Teddy Roosevelt had over 20 pets and his own real ""teddy"" bear along with a hyena",Curious to dive deeper
11,Wow! There are more tigers living as pets in the us than living wild in asia.,Surprised
11," I never met anyone with a tiger pet.  That is strange.  It's not legal to own pets in Boulder, Colorado but you can be their guardian.",Surprised
11," Lots of places have special animal rights. In 2002, germany became the first country in the world to universally give animals constitutionally-guaranteed legal rights.",Surprised
11,The loch ness monster is protected by 1912 Scottish provisions,Surprised
11,That's funny. It's not even a proven species. There are about 20 quintillion individual animals on planet earth.,Surprised
11,Did you ever hear of people being contacted due to DNA matches?  You can opt in or out but might be connected with matches of family members,Curious to dive deeper
11," That is pretty cool. There are several companies offering DNA testing, and each seems to offer a different way of handling client privacy",Neutral
11,DNA matches could be connected via social media.,Surprised
12," hi, do you like fish?",Curious to dive deeper
12," Yes, I love fish do you?",Neutral
12,yes me too. some of them can eat prey twice their sizew,Curious to dive deeper
12," Yes, did you know seahorses only fish to have a neck?",Neutral
12," that is so cool, and the males carry the young in that species",Curious to dive deeper
12," Yes, and zebrafish are very interesting.",Neutral
12,yeah did you know we use them to figure out stufffor ourselves,Curious to dive deeper
12," Yes interesting,  How about the first cloned cat named copy cat?",Neutral
12,that is cool. there is a jellyfish that is immortal,Curious to dive deeper
12," I know, really? How about our hiccups are from gills and lungs?",Neutral
12," that is a such a cool fact, we are still evolving so maybe it will eventually go away",Curious to dive deeper
12," lol, interesting to know the loch ness monster is a protected species.",Neutral
12,yet no one has really seen it to confirm its existence,Curious to dive deeper
12," I know, Also, I do believe in Japan there is less people under 15 years of age than pets.",Neutral
12,do you know how many idnividual animals are believed to be on earth?,Curious to dive deeper
12," Yes, 20 quintillion, can you believe that?Wow",Surprised
12,I do not even know how many zeros are in that number,Curious to dive deeper
12," lol, I know, I guess  the US have more tigers as pets than living wild in Asia.",Surprised
12,and Roosevelet did not have any of them,Curious to dive deeper
12,He did have a bear and hyena. Good to know you are a guardian not an owner in Colorado to pets.,Neutral
12,I like that too. nice chat,Happy
13,Hello,Happy
13,Hello.  do you have a cat?  I see that some people can be allergic to them.,Neutral
13," No, I do not.  I am actually allergic to cats.  The first cloned pet was a cat and its name was copy cat",Surprised
13," That's interesting and a little funny.  I had no idea of this, but the cat is the most popular pet in the world.  DId you know that?",Neutral
13," Wow, no I didn't know that.  There are more tigers living as pets in the us than living wild in asia.",Sad
13,Now that I had no idea of.  Did you know that some tarantulas keep frogs as pets?,Surprised
13," Wow, that's odd. Two of the most popular pets are dogs and cats",Curious to dive deeper
13,I have dogs and used to have cats too but dogs are my favorite.,Neutral
13,Dogs are my favorite also.  I hope to get another one in the future.,Curious to dive deeper
13,Do you have any now?  I have two.,Curious to dive deeper
13," No, I do not.  What kind do you have?  84 per cent of genes known to be associated with human diseases have counterparts in the zebrafish",Surprised
13,I have a beagle and a border collie.  I had no idea about that with the zebrafish. I wonder if cures can be found by using their genes.,Curious to dive deeper
13,I used to have a collie named Bimbo.  That's a great question.,Curious to dive deeper
13,Mine is named Cute Stuff.  Did you know about the fish that lives on land? I wonder what it is.,Curious to dive deeper
13," No, I didn't.  There is a breed of jellyfish that is immortal",Curious to dive deeper
13,Seriously?  I thought they just evaporated in the sun?,Surprised
13," Absolutely, There are about 20 quintillion individual animals on planet earth.",Curious to dive deeper
13,And who knows how many that are undiscovered.  Animals are truly fascinating!,Happy
13," Yes, they are.  In 2002, germany became the first country in the world to universally give animals constitutionally-guaranteed legal rights.",Curious to dive deeper
13,I think that is a good thing!  I like how the netherlands is constructing wildlife bridges.,Happy
13,Me too. Thanks for the informative chat.,Curious to dive deeper
14," Hello, Did you know that there are over 1.5 million living animal species?",Curious to dive deeper
14," No, that was chock  full of interesting facts. Hiccups are residual from when we had gills and lungs? Interesting stuff.",Surprised
14," Never heard that one before, lol! There is a fish called the black swallower that is capable of eating prey twice its length and 10 times its own weight.",Curious to dive deeper
14,I knew one of those in my fraternity in college I think. I was shocked to learn there is a breed of jellyfish that is immortal. Only creature on earth that can claim that here on the planet.,Surprised
14," Yeah we all know that guy! how about the loch ness monster being protected under the Scottish 1912 protection of animals act. Creatures of the great deep are extraordinary. ""The immortal Jelly fish. ",Curious to dive deeper
14," I already looked up that jellyfish on my phone. Fascinating, yes loch ness is protected and pets in Boulder, Colorado are not owned, but guarded. Interesting how different cultures handle that.",Surprised
14,Tell me about it apparently there are more U.S. Tigers living as pets than there are living in the wild in Asia.,Curious to dive deeper
14," Yes, that is sad in some ways too. Happy we're keeping them alive, probably in zoo but going extinct in the wild is a sad statement on the planet today.",Surprised
14,I agree. Germany became the first country to universally give animals constitutionally-guaranteed rights.,Curious to dive deeper
14," While I'm a pet owner, that going a bit far. Do you give dogs and cats rights, how about those dairy cows or cattle to be eaten. Do they get lesser rights?",Surprised
14,Very good point. My wife and I are watching Blue Planet. It's shocking some of the things that are down in the deep. they are still making discoveries every single day. Apparently the sea horse is the only fish with a neck.,Curious to dive deeper
14," Yes, and really they say we know more about the face of the moon than the bottom of the ocean. Who knows what's down there we don't know?  Maybe the Loch Ness monster's cousin.",Curious to dive deeper
14," If you ever get a chance you should check this show, there's some amazing creatures down there. 84% of genes that are associated with diseases have counterparts in the Zebrafish. ",Curious to dive deeper
14,I read that and thought the same. I wonder how similar the Zebra Fish is to humans? Can we use that in medical research?,Surprised
14," If we can i'm sure it will be preventative or medication. There's no money in cures. I didn't realize that we had already cloned a cat and named it Copy Cat, that's too funny.",Curious to dive deeper
14," Yes, the scientist in that experiment had a sense of humor. Related to domestication, I had no idea that domesticated animals develop a white patch on their foreheads. I wonder what causes that, it doesn't seem to have any evolutionary reason to me.",Neutral
14,Sounds strange. I can't fathom why anyone would want a rat for a pet. I'm a little leery of guinea pigs and ferrets. anything with red eyes you can keep.,Curious to dive deeper
14," Haha, yep. A snake doesn't seem very warm or comforting either. I don't understand why people enjoy having them as pets. And how do they find partners who accept it?",Neutral
14," Other people who like that stuff i guess, haha. Apparently Theodore Roosevelt had 20 pets including a bear and Hyena. I wonder if he played with them much? ",Curious to dive deeper
14," Well, President of the United States, I wonder if he had them in the White House? Did he have a stable for the bear out back?",Neutral
14,Some animals just should be domesticated. That white patch if true is something to ponder.,Curious to dive deeper
14," Yes indeed, interesting facts that will give me pause this weekend. That was an enjoyable conversation. Thanks and have a lovely weekend.",Curious to dive deeper
14,You as well!!,Curious to dive deeper
14,Thanks.,Happy
15," hey hows it going, do you know what the first cloned animal was?",Curious to dive deeper
15," Was it a sheep? I heard the first cloned pet was a cat, though. Its name was copy cat. That is funny!",Curious to dive deeper
15," haha ya I like that, what is also wild to me is that there are more domesticated tigers living as pets than there are wild tigers living around asia",Surprised
15," Wow, that is weird and sad. Speaking of which, did you hear about the tiger found in the duffel bag?",Curious to dive deeper
15," no that is really sad, poor tiger what happened to it? Why was it in a bag?",Curious to dive deeper
15,I guess it was being smuggled to the USA from Mexico.,Sad
15," ya I don't like that that makes me mad, do you have any pets? I guess In Japan there are more pets than there are kids under the age of fifteen",Curious to dive deeper
15," They really love their pets huh? No, I don't have any pets. Do you?",Happy
15," no we used to have a dog but we were only watching her for a bit and the owner took her away, we had lots of pets as kids though like iguanas and rabbits and such",Curious to dive deeper
15," In Boulder, Colorado you cannot own a pet. You can be their guardian though.",Surprised
15," hmm that seems dumb like its just playing with words, do you like Teddy Roosevelt? apparently he had over 20 pets, or as they say in Colorado, ""Guardians"" haha",Surprised
15," Maybe it helps people to feel more of an obligation to their pets. Shrug. Yeah, Teddy Roosevelt is an interesting guy. It's unfortunate though that people try to domesticate tigers as you mentioned. Many of the animals perish along the way from suffocation or hunger. ",Sad
15," ya that makes me really sad, what do you think about fish? I had salmon for dinner so I do think theyre tasty haha",Curious to dive deeper
15,Haha. Funny. I don't eat seafood. My mom forced me to eat salmon way too often when I was little and I grew sick of it. Haha #firstworldproblems.,Sad
15," haha ya, well I am like the black swallower fish, I could eat a salmon twice my height and ten times my weight because I love it",Happy
15,Funny. I would love to learn more about a jellyfish that is immortal.,Curious to dive deeper
15,I know they need to apply those genes to me! also weird is there is no fish except for the seahorse that has an actual neck,Curious to dive deeper
15,So seahorses are salt water right? I guess they drink water though their mouths while freshwater fish only drink through their skin.,Surprised
15," yes that would be true, also true is that 84% of human disease genes are also associated with the zebrafish, we need to study that fish too!",Surprised
15,How odd! Do you think the loch ness monster is real? It is a protected species!,Surprised
